game,appid,sample_size,avg_2w_hours,median_2w_hours,avg_month_hours,median_month_hours,api_url
Risk of Rain 2,632360,100,12.943333333333333,9.483333333333333,27.735714285714284,20.32142857142857,https://store.steampowered.com/appreviews/632360
Hades,1145360,100,14.190499999999998,6.791666666666667,30.40821428571428,14.553571428571429,https://store.steampowered.com/appreviews/1145360
Hades II,1145350,100,17.254666666666665,11.55,36.97428571428571,24.75,https://store.steampowered.com/appreviews/1145350
Dead Cells,588650,100,9.947666666666667,2.325,21.31642857142857,4.982142857142858,https://store.steampowered.com/appreviews/588650
Darkest Dungeon,262060,100,19.468833333333336,13.933333333333334,41.71892857142858,29.857142857142858,https://store.steampowered.com/appreviews/262060
Rogue Legacy 2,1253920,100,12.868166666666667,2.2916666666666665,27.57464285714286,4.910714285714286,https://store.steampowered.com/appreviews/1253920
